"","ID","quality_score"
"1","LE07_L1TP_010011_20000625_20200918_02_T1","1"
"2","LE07_L1TP_010011_20000812_20200917_02_T1","1"
"3","LE07_L1TP_010011_20010612_20200917_02_T1","1"
"4","LE07_L1TP_010011_20010714_20200917_02_T1","3"
"5","LE07_L1TP_010011_20010730_20200917_02_T1","1"
"6","LE07_L1TP_010011_20010815_20200917_02_T1","1"
"7","LE07_L1TP_010011_20020701_20200916_02_T1","1"
"8","LE07_L1TP_010011_20020802_20200916_02_T1","3"
"9","LE07_L1TP_010011_20040604_20200915_02_T1","3"
"10","LE07_L1TP_010011_20040620_20200915_02_T1","1"
"11","LE07_L1TP_010011_20040823_20200915_02_T1","1"
"12","LE07_L1TP_010011_20050810_20200914_02_T1","3"
"13","LE07_L1TP_010011_20050826_20200914_02_T1","3"
"14","LE07_L1TP_010011_20060626_20200914_02_T1","1"
"15","LE07_L1TP_010011_20060728_20200914_02_T1","3"
"16","LE07_L1TP_010011_20060813_20200914_02_T1","1"
"17","LE07_L1TP_010011_20080615_20200912_02_T1","1"
"18","LE07_L1TP_010011_20080701_20200912_02_T1","3"
"19","LE07_L1TP_010011_20080717_20200912_02_T1","1"
"20","LE07_L1TP_010011_20090618_20200911_02_T1","1"
"21","LE07_L1TP_010011_20090704_20200911_02_T1","2"
"22","LE07_L1TP_010011_20090805_20200911_02_T1","1"
"23","LE07_L1TP_010011_20090821_20200911_02_T1","3"
"24","LE07_L1TP_010011_20100621_20200911_02_T1","3"
"25","LE07_L1TP_010011_20100707_20200911_02_T1","3"
"26","LE07_L1TP_010011_20110811_20200909_02_T1","3"
"27","LE07_L1TP_010011_20120610_20200908_02_T1","1"
"28","LE07_L1TP_010011_20120626_20200908_02_T1","1"
"29","LE07_L1TP_010011_20120712_20200908_02_T1","1"
"30","LE07_L1TP_010011_20120813_20200908_02_T1","3"
"31","LE07_L1TP_010011_20130613_20200907_02_T1","3"
"32","LE07_L1TP_010011_20130715_20200907_02_T1","1"
"33","LE07_L1TP_010012_20010628_20200917_02_T1","3"
"34","LE07_L1TP_010012_20020701_20200916_02_T1","1"
"35","LE07_L1TP_010012_20030805_20200915_02_T1","3"
"36","LE07_L1TP_010012_20040620_20200915_02_T1","1"
"37","LE07_L1TP_010012_20040823_20200915_02_T1","1"
"38","LE07_L1TP_010012_20050709_20200914_02_T1","3"
"39","LE07_L1TP_010012_20060626_20200914_02_T1","1"
"40","LE07_L1TP_010012_20060728_20200914_02_T1","3"
"41","LE07_L1TP_010012_20060813_20200913_02_T1","1"
"42","LE07_L1TP_011011_20000531_20200918_02_T1","3"
"43","LE07_L1TP_011011_20000616_20200918_02_T1","1"
"44","LE07_L1TP_011011_20000702_20200918_02_T1","1"
"45","LE07_L1TP_011011_20010721_20200917_02_T1","1"
"46","LE07_L1TP_011011_20020606_20200916_02_T1","3"
"47","LE07_L1TP_011011_20020809_20200916_02_T1","3"
"48","LE07_L1TP_011011_20020825_20200916_02_T1","1"
"49","LE07_L1TP_011011_20040611_20200915_02_T1","1"
"50","LE07_L1TP_011011_20040729_20200915_02_T1","3"
"51","LE07_L1TP_011011_20040814_20200915_02_T1","1"
"52","LE07_L1TP_011011_20050630_20200914_02_T1","1"
"53","LE07_L1TP_011011_20050716_20200914_02_T1","3"
"54","LE07_L1TP_011011_20050817_20200914_02_T1","1"
"55","LE07_L1TP_011011_20060703_20200914_02_T1","1"
"56","LE07_L1TP_011011_20060804_20200914_02_T1","3"
"57","LE07_L1TP_011011_20070604_20200913_02_T1","2"
"58","LE07_L1TP_011011_20080622_20200912_02_T1","1"
"59","LE07_L1TP_011011_20080708_20200912_02_T1","1"
"60","LE07_L1TP_011011_20090625_20200911_02_T1","3"
"61","LE07_L1TP_011011_20090711_20200911_02_T1","2"
"62","LE07_L1TP_011011_20090812_20200911_02_T1","3"
"63","LE07_L1TP_011011_20100815_20200910_02_T1","1"
"64","LE07_L1TP_011011_20100831_20200911_02_T1","1"
"65","LE07_L1TP_011011_20110615_20200910_02_T1","1"
"66","LE07_L1TP_011011_20110701_20200909_02_T1","1"
"67","LE07_L1TP_011011_20110717_20200909_02_T1","1"
"68","LE07_L1TP_011011_20110818_20200909_02_T1","1"
"69","LE07_L1TP_011011_20120601_20200908_02_T1","1"
"70","LE07_L1TP_011011_20120617_20200908_02_T1","1"
"71","LE07_L1TP_011011_20120719_20200908_02_T1","1"
"72","LE07_L1TP_011011_20120820_20200908_02_T1","3"
"73","LE07_L1TP_011011_20130706_20200907_02_T1","1"
"74","LE07_L1TP_011011_20130722_20200907_02_T1","1"
"75","LE07_L1TP_011011_20130823_20200907_02_T1","3"
"76","LE07_L1TP_012011_20000607_20200918_02_T1","1"
"77","LE07_L1TP_012011_20000826_20200917_02_T1","1"
"78","LE07_L1TP_012011_20010610_20200917_02_T1","1"
"79","LE07_L1TP_012011_20010712_20200917_02_T1","1"
"80","LE07_L1TP_012011_20010829_20200917_02_T1","1"
"81","LE07_L1TP_012011_20020816_20200916_02_T1","3"
"82","LE07_L1TP_012011_20050605_20200914_02_T1","1"
"83","LE07_L1TP_012011_20050621_20200914_02_T1","3"
"84","LE07_L1TP_012011_20050808_20200914_02_T1","1"
"85","LE07_L1TP_012011_20060624_20200914_02_T1","1"
"86","LE07_L1TP_012011_20060726_20200914_02_T1","3"
"87","LE07_L1TP_012011_20060811_20200913_02_T1","1"
"88","LE07_L1TP_012011_20070627_20200913_02_T1","1"
"89","LE07_L1TP_012011_20080715_20200912_02_T1","2"
"90","LE07_L1TP_012011_20080731_20200912_02_T1","1"
"91","LE07_L1TP_012011_20080816_20200912_02_T1","3"
"92","LE07_L1TP_012011_20090616_20200912_02_T1","1"
"93","LE07_L1TP_012011_20090718_20200911_02_T1","1"
"94","LE07_L1TP_012011_20100705_20200911_02_T1","1"
"95","LE07_L1TP_012011_20110606_20200910_02_T1","3"
"96","LE07_L1TP_012011_20110708_20200909_02_T1","3"
"97","LE07_L1TP_012011_20110809_20200909_02_T1","3"
"98","LE07_L1TP_012011_20120624_20200908_02_T1","1"
"99","LE07_L1TP_012011_20120827_20200908_02_T1","3"
"100","LE07_L1TP_012011_20130611_20200907_02_T1","1"
"101","LE07_L1TP_012011_20130627_20200907_02_T1","1"
"102","LE07_L1TP_012011_20130814_20200907_02_T1","2"
"103","LE07_L1TP_013011_20010617_20200917_02_T1","3"
"104","LE07_L1TP_013011_20010703_20200917_02_T1","1"
"105","LE07_L1TP_013011_20010804_20200917_02_T1","1"
"106","LE07_L1TP_013011_20020706_20200916_02_T1","3"
"107","LE07_L1TP_013011_20020823_20200916_02_T1","1"
"108","LC08_L1TP_010011_20130621_20200912_02_T1","3"
"109","LC08_L1TP_010011_20130824_20200912_02_T1","3"
"110","LC08_L1TP_010011_20140608_20200911_02_T1","1"
"111","LC08_L1TP_010011_20140710_20200911_02_T1","3"
"112","LC08_L1TP_010011_20140726_20200911_02_T1","3"
"113","LC08_L1TP_010011_20140811_20200911_02_T1","3"
"114","LC08_L1TP_010011_20140827_20200911_02_T1",NA
"115","LC08_L1TP_010011_20150611_20200909_02_T1",NA
"116","LC08_L1TP_010011_20150627_20200909_02_T1",NA
"117","LC08_L1TP_010011_20150713_20201015_02_T1",NA
"118","LC08_L1TP_010011_20150729_20200908_02_T1",NA
"119","LC08_L1TP_010011_20150814_20200909_02_T1",NA
"120","LC08_L1TP_010011_20160613_20200906_02_T1",NA
"121","LC08_L1TP_010011_20160629_20200906_02_T1",NA
"122","LC08_L1TP_010011_20160715_20200906_02_T1",NA
"123","LC08_L1TP_010011_20160731_20200906_02_T1",NA
"124","LC08_L1TP_010011_20160816_20200906_02_T1",NA
"125","LC08_L1TP_010011_20170616_20201016_02_T1",NA
"126","LC08_L1TP_010011_20170718_20200903_02_T1",NA
"127","LC08_L1TP_010011_20170803_20200903_02_T1",NA
"128","LC08_L1TP_010011_20180603_20200831_02_T1",NA
"129","LC08_L1TP_010011_20180619_20200831_02_T1",NA
"130","LC08_L1TP_010011_20180721_20200831_02_T1",NA
"131","LC08_L1TP_010011_20180822_20200831_02_T1",NA
"132","LC08_L1TP_010011_20190606_20200828_02_T1",NA
"133","LC08_L1TP_010011_20190708_20200827_02_T1",NA
"134","LC08_L1TP_010011_20190724_20200827_02_T1",NA
"135","LC08_L1TP_010011_20190809_20200827_02_T1",NA
"136","LC08_L1TP_010011_20190825_20200826_02_T1",NA
"137","LC08_L1TP_010011_20200624_20200824_02_T1",NA
"138","LC08_L1TP_010011_20200811_20200918_02_T1",NA
"139","LC08_L1TP_010011_20210611_20210622_02_T1",NA
"140","LC08_L1TP_010011_20210729_20210804_02_T1",NA
"141","LC08_L1TP_010011_20210830_20210909_02_T1",NA
"142","LC08_L1TP_010011_20220614_20220617_02_T1",NA
"143","LC08_L1TP_010011_20220716_20220725_02_T1",NA
"144","LC08_L1TP_010011_20220801_20220805_02_T1",NA
"145","LC08_L1TP_010011_20230703_20230711_02_T1",NA
"146","LC08_L1TP_010011_20230804_20230811_02_T1",NA
"147","LC08_L1TP_010012_20140608_20200911_02_T1",NA
"148","LC08_L1TP_010012_20140710_20200911_02_T1",NA
"149","LC08_L1TP_010012_20140726_20200911_02_T1",NA
"150","LC08_L1TP_010012_20140811_20200911_02_T1",NA
"151","LC08_L1TP_010012_20140827_20200911_02_T1",NA
"152","LC08_L1TP_010012_20150611_20201015_02_T1",NA
"153","LC08_L1TP_010012_20150627_20201015_02_T1",NA
"154","LC08_L1TP_010012_20150729_20200908_02_T1",NA
"155","LC08_L1TP_010012_20160613_20200906_02_T1",NA
"156","LC08_L1TP_010012_20160715_20200906_02_T1",NA
"157","LC08_L1TP_010012_20160731_20200906_02_T1",NA
"158","LC08_L1TP_010012_20160816_20200906_02_T1",NA
"159","LC08_L1TP_010012_20170803_20200903_02_T1",NA
"160","LC08_L1TP_010012_20180603_20200831_02_T1",NA
"161","LC08_L1TP_010012_20180619_20200831_02_T1",NA
"162","LC08_L1TP_010012_20180705_20200831_02_T1",NA
"163","LC08_L1TP_010012_20180721_20200831_02_T1",NA
"164","LC08_L1TP_010012_20180822_20200831_02_T1",NA
"165","LC08_L1TP_010012_20190708_20200827_02_T1",NA
"166","LC08_L1TP_010012_20190809_20200827_02_T1",NA
"167","LC08_L1TP_010012_20190825_20200826_02_T1",NA
"168","LC08_L1TP_010012_20200811_20200918_02_T1",NA
"169","LC08_L1TP_010012_20210729_20210804_02_T1",NA
"170","LC08_L1TP_010012_20210830_20210909_02_T1",NA
"171","LC08_L1TP_010012_20220614_20220617_02_T1",NA
"172","LC08_L1TP_010012_20220716_20220725_02_T1",NA
"173","LC08_L1TP_010012_20220801_20220805_02_T1",NA
"174","LC08_L1TP_010012_20230617_20230623_02_T1",NA
"175","LC08_L1TP_010012_20230804_20230811_02_T1",NA
"176","LC08_L1TP_011011_20130612_20200912_02_T1",NA
"177","LC08_L1TP_011011_20130831_20200913_02_T1",NA
"178","LC08_L1TP_011011_20140615_20200911_02_T1",NA
"179","LC08_L1TP_011011_20140701_20200911_02_T1",NA
"180","LC08_L1TP_011011_20140802_20200911_02_T1",NA
"181","LC08_L1TP_011011_20150602_20200909_02_T1",NA
"182","LC08_L1TP_011011_20150618_20200909_02_T1",NA
"183","LC08_L1TP_011011_20150704_20200909_02_T1",NA
"184","LC08_L1TP_011011_20150720_20200908_02_T1",NA
"185","LC08_L1TP_011011_20150805_20200908_02_T1",NA
"186","LC08_L1TP_011011_20160620_20200906_02_T1",NA
"187","LC08_L1TP_011011_20160706_20200906_02_T1",NA
"188","LC08_L1TP_011011_20160722_20200906_02_T1",NA
"189","LC08_L1TP_011011_20160807_20200906_02_T1",NA
"190","LC08_L1TP_011011_20170607_20200903_02_T1",NA
"191","LC08_L1TP_011011_20170623_20201016_02_T1",NA
"192","LC08_L1TP_011011_20170709_20201015_02_T1",NA
"193","LC08_L1TP_011011_20170725_20201015_02_T1",NA
"194","LC08_L1TP_011011_20170810_20200903_02_T1",NA
"195","LC08_L1TP_011011_20170826_20200903_02_T1",NA
"196","LC08_L1TP_011011_20180610_20200831_02_T1",NA
"197","LC08_L1TP_011011_20180626_20200831_02_T1",NA
"198","LC08_L1TP_011011_20180712_20200831_02_T1",NA
"199","LC08_L1TP_011011_20180728_20200831_02_T1",NA
"200","LC08_L1TP_011011_20180813_20200831_02_T1",NA
"201","LC08_L1TP_011011_20180829_20200831_02_T1",NA
"202","LC08_L1TP_011011_20190613_20200829_02_T1",NA
"203","LC08_L1TP_011011_20190629_20200827_02_T1",NA
"204","LC08_L1TP_011011_20190715_20200829_02_T1",NA
"205","LC08_L1TP_011011_20190731_20200827_02_T1",NA
"206","LC08_L1TP_011011_20200701_20200913_02_T1",NA
"207","LC08_L1TP_011011_20200717_20200911_02_T1",NA
"208","LC08_L1TP_011011_20200802_20200914_02_T1",NA
"209","LC08_L1TP_011011_20200818_20200823_02_T1",NA
"210","LC08_L1TP_011011_20210602_20210608_02_T1",NA
"211","LC08_L1TP_011011_20210618_20210628_02_T1",NA
"212","LC08_L1TP_011011_20210805_20210811_02_T1",NA
"213","LC08_L1TP_011011_20210821_20210827_02_T1",NA
"214","LC08_L1TP_011011_20220605_20220610_02_T1",NA
"215","LC08_L1TP_011011_20220824_20220924_02_T1",NA
"216","LC08_L1TP_011011_20230608_20230614_02_T1",NA
"217","LC08_L1TP_011011_20230624_20230630_02_T1",NA
"218","LC08_L1TP_011011_20230710_20230718_02_T1",NA
"219","LC08_L1TP_011011_20230726_20230805_02_T1",NA
"220","LC08_L1TP_012011_20140708_20200911_02_T1",NA
"221","LC08_L1TP_012011_20140724_20200911_02_T1",NA
"222","LC08_L1TP_012011_20150625_20200909_02_T1",NA
"223","LC08_L1TP_012011_20150711_20200908_02_T1",NA
"224","LC08_L1TP_012011_20150727_20201015_02_T1",NA
"225","LC08_L1TP_012011_20160611_20200906_02_T1",NA
"226","LC08_L1TP_012011_20160713_20200906_02_T1",NA
"227","LC08_L1TP_012011_20160729_20200906_02_T1",NA
"228","LC08_L1TP_012011_20160814_20200906_02_T1",NA
"229","LC08_L1TP_012011_20160830_20200906_02_T1",NA
"230","LC08_L1TP_012011_20170614_20201015_02_T1",NA
"231","LC08_L1TP_012011_20180617_20200831_02_T1",NA
"232","LC08_L1TP_012011_20180719_20200831_02_T1",NA
"233","LC08_L1TP_012011_20180804_20200831_02_T1",NA
"234","LC08_L1TP_012011_20190620_20200827_02_T1",NA
"235","LC08_L1TP_012011_20190706_20200827_02_T1",NA
"236","LC08_L1TP_012011_20190722_20200827_02_T1",NA
"237","LC08_L1TP_012011_20190823_20200826_02_T1",NA
"238","LC08_L1TP_012011_20200622_20200824_02_T1",NA
"239","LC08_L1TP_012011_20200809_20200917_02_T1",NA
"240","LC08_L1TP_012011_20210609_20210615_02_T1",NA
"241","LC08_L1TP_012011_20210711_20210720_02_T1",NA
"242","LC08_L1TP_012011_20210727_20210804_02_T1",NA
"243","LC08_L1TP_012011_20210828_20210901_02_T1",NA
"244","LC08_L1TP_012011_20220628_20220706_02_T1",NA
"245","LC08_L1TP_012011_20220714_20220725_02_T1",NA
"246","LC08_L1TP_012011_20230802_20230811_02_T1",NA
"247","LC08_L1TP_013011_20140613_20200911_02_T1",NA
"248","LC08_L1TP_013011_20140715_20200911_02_T1",NA
"249","LC08_L1TP_013011_20150718_20201015_02_T1",NA
"250","LC08_L1TP_013011_20160602_20200906_02_T1",NA
"251","LC08_L1TP_013011_20160618_20200906_02_T1",NA
"252","LC08_L1TP_013011_20160805_20200906_02_T1",NA
"253","LC08_L1TP_013011_20160821_20200906_02_T1",NA
"254","LC08_L1TP_013011_20170707_20200903_02_T1",NA
"255","LC08_L1TP_013011_20170723_20200903_02_T1",NA
"256","LC08_L1TP_013011_20180827_20200831_02_T1",NA
"257","LC08_L1TP_013011_20190611_20200828_02_T1",NA
"258","LC08_L1TP_013011_20190627_20200827_02_T1",NA
"259","LC08_L1TP_013011_20190729_20200827_02_T1",NA
"260","LC08_L1TP_013011_20190814_20200827_02_T1",NA
"261","LC08_L1TP_013011_20190830_20200826_02_T1",NA
"262","LC08_L1TP_013011_20200613_20200823_02_T1",NA
"263","LC08_L1TP_013011_20200816_20200920_02_T1",NA
"264","LC08_L1TP_013011_20210718_20210729_02_T1",NA
"265","LC08_L1TP_013011_20220603_20220610_02_T1",NA
"266","LC08_L1TP_013011_20220619_20220630_02_T1",NA
"267","LC08_L1TP_013011_20220705_20220721_02_T1",NA
"268","LC08_L1TP_013011_20230708_20230718_02_T1",NA
"269","LC08_L1TP_013011_20230724_20230803_02_T1",NA
"270","LC08_L1GT_012011_20140809_20200911_02_T2",NA
"271","LC08_L1GT_012011_20170817_20200903_02_T2",NA
"272","LC08_L1GT_013011_20140816_20200911_02_T2",NA
"273","LC08_L1GT_013011_20170824_20200903_02_T2",NA
