site,weights,dist,aic,loglike,sig2,walds,waldp,lograts,logratp
bl,equal,10,-3943.5153216323624,1975.7576608161812,3.1990272653046567e-4,48564.99766579615,0,2000.3695193319058,0
kh,equal,10,-6952.09565863539,3480.047829317695,1.0425075509674305e-4,77920.43100257797,0,2413.775795662141,0
kl,equal,10,-3879.9228187695353,1943.9614093847676,1.0359220042818477e-4,52700.31090800722,0,1762.4893434042233,0
bl,idw,10,-3641.3044934727477,1824.6522467363739,4.7894863639682297e-4,78129.9380527451,0,1698.1586911722911,0
kh,idw,10,-6748.6300125655525,3378.3150062827763,1.2937632566085769e-4,72141.59727132923,0,2210.310149592304,0
kl,idw,10,-3802.644888824211,1905.3224444121056,1.2082580125782416e-4,222551.48304216273,0,1685.2114134588992,0
bl,equal,20,-3425.74748270049,1716.873741350245,7.664215357681916e-4,28102.67605835749,0,1482.6016804000333,0
kh,equal,20,-6243.696432636496,3125.848216318248,2.4377865568912937e-4,46330.81218944693,0,1705.3765696632472,0
kl,equal,20,-3456.2295441562574,1732.1147720781287,2.5275879522753097e-4,38202.67412987744,0,1338.7960687909454,0
bl,idw,20,-3345.639099220727,1676.8195496103635,8.453951277230405e-4,130393.56239321516,0,1402.4932969202705,0
kh,idw,20,-6322.638986507252,3165.319493253626,2.2837394171070234e-4,127152.62361976953,0,1784.3191235340037,0
kl,idw,20,-3477.560927024174,1742.780463512087,2.4608310025949073e-4,211339.02306472306,0,1360.127451658862,0
bl,equal,30,-3026.8938906721887,1517.4469453360944,0.0013662006849711238,16595.36986738887,0,1083.7480883717321,0
kh,equal,30,-5715.7224251237185,2861.8612125618592,4.1985203990966077e-4,28252.029664022135,0,1177.4025621504697,0
kl,equal,30,-3099.8606848927748,1553.9303424463874,4.785598329637138e-4,25388.287383683113,0,982.4272095274628,0
bl,idw,30,-3057.028280433794,1532.514140216897,0.0013129154595416127,128071.63815017976,0,1113.8824781333374,0
kh,idw,30,-5922.896652647862,2965.448326323931,3.510740545528372e-4,162566.48547867287,0,1384.5767896746129,0
kl,idw,30,-3180.4395501724175,1594.2197750862088,4.234505147992084e-4,157860.45431522166,0,1063.0060748071055,0
bl,equal,40,-2825.6966779696286,1416.8483389848143,0.001803451753535657,10923.830122027182,0,882.550875669172,0
kh,equal,40,-5399.9421747551005,2703.9710873775502,5.686579763975512e-4,12334.939887323659,0,861.6223117818517,0
kl,equal,40,-2885.425781070342,1446.712890535171,6.866814172551806e-4,16118.792316388917,0,767.99230570503,0
bl,idw,40,-2892.382642236105,1450.1913211180524,0.0016566816029019555,101898.82822922463,0,949.2368399356483,0
kh,idw,40,-5675.956499518904,2841.978249759452,4.476985147938106e-4,146218.96442892376,0,1137.6366365456552,0
kl,idw,40,-3003.1653818511527,1505.5826909255763,5.729227774409302e-4,119121.73898238379,0,885.7319064858407,0
bl,equal,50,-2692.9524253296813,1350.4762126648407,0.002159713675394612,9584.339355572349,0,749.8066230292247,0
kh,equal,50,-5157.2944309756485,2582.6472154878243,7.139083941354477e-4,4468.125809277589,0,618.9745680023998,0
kl,equal,50,-2731.52660702925,1369.763303514625,8.856743685303383e-4,11744.480110423792,0,614.093131663938,0
bl,idw,50,-2767.5895443080026,1387.7947721540013,0.0019657611081793022,81133.75478561831,0,824.443742007546,0
kh,idw,50,-5473.578237439609,2740.7891187198047,5.42432981986421e-4,129117.87408083814,0,935.2583744663607,0
kl,idw,50,-2870.4436165763095,1439.2218082881548,7.147886861086224e-4,99483.50412842358,0,753.0101412109975,0
bl,equal,60,-2641.324782892809,1324.6623914464044,0.002317789783695241,12353.465536754255,0,698.1789805923522,0
kh,equal,60,-5021.262100139611,2514.6310500698055,8.09480351703883e-4,1743.757595357156,0,482.94223716636225,0
kl,equal,60,-2638.808334295006,1323.404167147503,0.0010293417580066072,8521.110856371484,0,521.3748589296938,0
bl,idw,60,-2706.824307796071,1357.4121538980355,0.0021345396201685194,74408.79574173031,0,763.6785054956144,0
kh,idw,60,-5353.418026659883,2680.7090133299416,6.060999552483271e-4,114192.02657213723,0,815.0981636866345,0
kl,idw,60,-2792.087989726649,1400.0439948633245,8.121567818442826e-4,87186.77965188115,0,674.6545143613371,0
bl,equal,70,-2617.2411644204985,1312.6205822102493,0.002397706322519754,20245.247375646897,0,674.095362120042,0
kh,equal,70,-4935.817024855661,2471.9085124278304,8.755116701283178e-4,928.0888083123799,0,397.497161882412,0
kl,equal,70,-2571.366400854645,1289.6832004273224,0.001147258615776271,6288.685539254541,0,453.9329254893328,0
bl,idw,70,-2669.7622673598507,1338.8811336799254,0.0022445511396106993,73917.29807765424,0,726.6164650593942,0
kh,idw,70,-5267.37535180676,2637.68767590338,6.556653449753706e-4,103651.45393607872,0,729.0554888335109,0
kl,idw,70,-2735.0076276436375,1371.5038138218188,8.90463811338698e-4,79218.48282456184,0,617.5741522783255,0
bl,equal,80,-2602.624065301118,1305.312032650559,0.002449111362602318,37243.32670444186,0,659.4782630006616,0
kh,equal,80,-4878.090014163684,2443.045007081842,9.227116624541151e-4,749.4218231714044,0,339.7701511904352,0
kl,equal,80,-2516.317401294983,1262.1587006474915,0.0012529780459267685,4895.870328588264,0,398.883925929671,0
bl,idw,80,-2641.531016858276,1324.765508429138,0.002332115291991718,76579.189146482,0,698.3852145578194,0
kh,idw,80,-5194.783971850062,2601.391985925031,7.003404526013539e-4,94187.72632294455,0,656.464108876813,0
kl,idw,80,-2685.474311033655,1346.7371555168274,9.639737106506713e-4,73035.17574438431,0,568.0408356683429,0
bl,equal,90,-2582.8370436401356,1295.4185218200678,0.002514677919068067,58301.965702944275,0,639.691241339679,0
kh,equal,90,-4839.274317580383,2423.6371587901913,9.554269475906664e-4,860.7885030931773,0,300.9544546071338,0
kl,equal,90,-2467.1274462873525,1237.5637231436763,0.0013545129588435417,3744.3945591104402,0,349.69397092204053,0
bl,idw,90,-2618.9202284429994,1313.4601142214997,0.002403551698508105,78853.26072912275,0,675.7744261425428,0
kh,idw,90,-5138.793351730761,2573.3966758653805,7.366097174901306e-4,86417.58224210315,0,600.4734887575123,0
kl,idw,90,-2642.2720596480303,1325.1360298240152,0.0010322715682850032,65996.16609220783,0,524.8385842827183,0
bl,equal,100,-2555.2810911893,1281.64054559465,0.0026046065128971668,77070.44058507924,0,612.1352888888432,0
kh,equal,100,-4810.312603789964,2409.156301894982,9.80334814426876e-4,1228.0424652723582,0,271.992740816715,0
kl,equal,100,-2430.027913875024,1219.013956937512,0.0014359364854734092,3409.13756499967,0,312.59443850971184,0
bl,idw,100,-2598.232165390628,1303.116082695314,0.0024693859706411327,79712.59373588116,0,655.0863630901713,0
kh,idw,100,-5094.0822611514695,2551.0411305757348,7.66722050986879e-4,79304.13917779348,0,555.7623981782208,0
kl,idw,100,-2607.6939627717866,1307.8469813858933,0.001090110308295933,60503.42677563056,0,490.26048740647457,0
bl,equal,110,-2525.240446221744,1266.620223110872,0.0027041853644170647,86707.37061479829,0,582.0946439212876,0
kh,equal,110,-4789.299326442693,2398.6496632213466,9.98698626032149e-4,1711.0624203436507,0,250.97946346944445,0
kl,equal,110,-2402.6925879423165,1205.3462939711583,0.0014985560919600978,3347.17191715305,0,285.25911257700454,0
bl,idw,110,-2582.0680591787723,1295.0340295893861,0.002521305177498883,79416.14120185522,0,638.9222568783157,0
kh,idw,110,-5062.262026321058,2535.131013160529,7.887636040706616e-4,73816.34969270643,0,523.9421633478096,0
kl,idw,110,-2582.522903456598,1295.261451728299,0.0011340201912422082,56304.20320531393,0,465.0894280912862,0
bl,equal,120,-2490.965052265066,1249.482526132533,0.002821297100313779,89788.75582735162,0,547.8192499646093,0
kh,equal,120,-4770.607778674116,2389.303889337058,0.0010152750237067325,2260.3550158326143,0,232.28791570086742,0
kl,equal,120,-2383.770876598042,1195.885438299021,0.0015432423749445878,3820.594545513335,0,266.3374012327299,0
bl,idw,120,-2567.0491658563697,1287.5245829281848,0.002569986120679774,78470.80030363408,0,623.9033635559131,0
kh,idw,120,-5035.152068609078,2521.576034304539,8.079490997084081e-4,68838.66615462772,0,496.83220563582927,0
kl,idw,120,-2563.5614517496406,1285.7807258748203,0.0011682435049736757,53915.07128256412,0,446.1279763843286,0
bl,equal,130,-2439.1643485839177,1223.5821742919588,0.003006665304113582,83586.1196421723,0,496.0185462834611,0
kh,equal,130,-4746.824779293587,2377.4123896467936,0.0010367106747496031,2711.285286818122,0,208.50491632033845,0
kl,equal,130,-2369.624623151551,1188.8123115757755,0.0015772650583901187,5282.201052609879,0,252.19114778623907,0
bl,idw,130,-2548.136691987066,1278.068345993533,0.002631923614863966,75990.91714773579,0,604.9908896866095,0
kh,idw,130,-5005.078052284143,2506.5390261420716,8.29666194028775e-4,63123.19205857318,0,466.7581893108945,0
kl,idw,130,-2546.345569181615,1277.1727845908074,0.0012002255808180118,52869.3069785928,0,428.9120938163028,0
bl,equal,140,-2389.0252775222284,1198.5126387611142,0.003197026440743251,71852.87163180897,0,445.8794752217718,0
kh,equal,140,-4725.833910754061,2366.9169553770307,0.001055926754147979,2847.7671984956746,0,187.5140477808127,0
kl,equal,140,-2361.5003711215722,1184.7501855607861,0.001597002096613472,7161.67453240648,0,244.06689575626024,0
bl,idw,140,-2532.5179797903725,1270.2589898951862,0.0026838521543802226,73218.61916883168,0,589.3721774899159,0
kh,idw,140,-4981.913242963414,2494.956621481707,8.467174888853814e-4,58771.84042002428,0,443.593379990165,0
kl,idw,140,-2535.7727471179514,1271.8863735589757,0.001220323098376741,53367.42500955154,0,418.33927175263943,0
bl,equal,150,-2335.3501047622967,1171.6750523811484,0.00341384094943763,57876.628970778096,0,392.20430246184014,0
kh,equal,150,-4708.267863979196,2358.133931989598,0.001072237620217691,3116.3563497427426,0,169.94800100594694,0
kl,equal,150,-2354.32630172053,1181.163150860265,0.0016145623260420882,9445.449756588694,0,236.89282635521795,0
bl,idw,150,-2518.042987120387,1263.0214935601934,0.002732736584491956,70561.4174323167,0,574.8971848199303,0
kh,idw,150,-4962.158387889414,2485.079193944707,8.615214802602239e-4,55697.48426298099,0,423.8385249161656,0
kl,idw,150,-2527.4351835327743,1267.7175917663872,0.0012364090127730913,54512.9268820196,0,410.0017081674623,0
bl,equal,160,-2291.131212694655,1149.5656063473275,0.0036033727836682888,46311.82129723663,0,347.9854103941984,0
kh,equal,160,-4692.97228064995,2350.486140324975,0.0010865965755502737,3176.322143247627,0,154.6524176767016,0
kl,equal,160,-2346.0867685516077,1177.0433842758039,0.0016350053023747046,11050.345662679507,0,228.65329318629574,0
bl,idw,160,-2507.1002347588137,1257.5501173794069,0.0027701859548733953,68615.85619590762,0,563.9544324583571,0
kh,idw,160,-4947.100938945714,2477.550469472857,8.729449926474505e-4,53494.36323659462,0,408.78107597246526,0
kl,idw,160,-2521.143669646707,1264.5718348233536,0.0012486361455446957,55720.985739949254,0,403.71019428139516,0
bl,equal,170,-2244.255726884359,1126.1278634421794,0.003815731350573759,35114.443139087976,0,301.1099245839023,0
kh,equal,170,-4678.6623646250555,2343.3311823125277,0.0011001778448344892,3277.2091174413567,0,140.34250165180674,0
kl,equal,170,-2333.3283129490837,1170.6641564745419,0.001667225387381047,11872.41633278683,0,215.89483758377173,0
bl,idw,170,-2496.5711468296786,1252.2855734148393,0.0028066326799769696,66967.4861453542,0,553.425344529222,0
kh,idw,170,-4933.174658347671,2470.5873291738353,8.836347222922001e-4,51886.073786039,0,394.8547953744219,0
kl,idw,170,-2514.0300472773315,1261.0150236386658,0.0012625166841421986,56679.031268424886,0,396.5965719120195,0
bl,equal,180,-2200.184739151642,1104.092369575821,0.004026825646850822,25664.327388490514,0,257.03893685118555,0
kh,equal,180,-4666.616120745888,2337.308060372944,0.0011117346649735483,3312.818740959976,0,128.29625777263936,0
kl,equal,180,-2318.183414653306,1163.091707326653,0.0017063193719436304,11804.662590825827,0,200.74993928799404,0
bl,idw,180,-2487.425072549992,1247.712536274996,0.002838608659561895,65647.79320916464,0,544.2792702495353,0
kh,idw,180,-4921.836414281323,2464.9182071406617,8.924271718259518e-4,50862.58087494458,0,383.51655130807467,0
kl,idw,180,-2507.0757110700324,1257.5378555350162,0.0012761702461175709,57341.87530485685,0,389.6422357047204,0
bl,equal,190,-2158.506161448843,1083.2530807244216,0.004237344361869837,18068.203805014746,0,215.36035914838658,0
kh,equal,190,-4654.011209492484,2331.005604746242,0.0011239606351500346,3130.9450780059774,0,115.6913465192356,0
kl,equal,190,-2298.4437061925664,1153.2218530962832,0.0017586916859104428,10731.236423301816,0,181.01023082725442,0
bl,idw,190,-2479.6719865538944,1243.8359932769472,0.002865982011788138,64939.627855522944,0,536.5261842534378,0
kh,idw,190,-4911.337306545816,2459.668653272908,9.006300609447018e-4,49993.725237552855,0,373.0174435725676,0
kl,idw,190,-2498.7270993165957,1253.3635496582979,0.001292669999114799,57409.06331678318,0,381.29362395128373,0
bl,equal,200,-2118.847573267817,1063.4237866339085,0.004448103477818114,12016.000879920488,0,175.70177096736052,0
kh,equal,200,-4643.685976712681,2325.8429883563404,0.0011340770324669673,2968.2255437957356,0,105.36611373943197,0
kl,equal,200,-2278.9540040128422,1143.4770020064211,0.0018120166949061954,9367.831292158378,0,161.52052864753023,0
bl,idw,200,-2473.190936425315,1240.5954682126576,0.0028890326005299736,64741.85784188411,0,530.0451341248586,0
kh,idw,200,-4902.278763809452,2455.139381904726,9.077591701855458e-4,49365.44735977681,0,363.9589008362036,0
kl,idw,200,-2491.1576841354736,1249.5788420677368,0.0013077872263439158,57387.74364528422,0,373.72420877016157,0
